项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
其他,23158,解读你的身体密码,项目成功,2000.00,2449.00,892,0,0.00,2,0,72,2015/06/08,是,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,10047029,九阳空气炸锅KL-J63立体热风循环加热定时温控,项目成功,100000.00,179664.00,514,6,299.00,5,2,1443,2015/11/12,否,100,7,"-,,"
其他,22826,韦博特邀--硅谷CEO女神众筹中英双语代码课,项目成功,1314.00,2185.00,277,0,0.00,1,0,56,2015/05/22,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,10040180,谜·零碳度假营地-寻找另一个星球,项目成功,100000.00,1137943.00,7851,14,99.00,18,3,14579,2015/11/29,是,36,60,"-,,"
其他,23066,【学尔森网校二级建造师考前押题直播全科】,项目成功,1000.00,9105.00,642,4,50.00,1,3,66,2015/05/23,否,45,1,"淘宝-,,"
其他,24455,专利技术-首款全自动变焦强光手电,项目成功,10000.00,61867.00,413,2,139.00,14,0,1630,2015/06/22,否,190,7,"-,,"
其他,15619,婚趣全网首发，圆你婚纱梦。爱，由此开始,制作中,80000.00,86008.00,54,0,0.00,5,0,185,2015/04/23,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,11914,以爱之名，众筹全球爱情地标,制作中,3000000.00,3578378.00,273720,0,0.00,14,0,36420,2015/03/13,是,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,5168,在淘宝城边开家咖啡吧,项目成功,500000.00,541000.00,74,0,0.00,8,0,454,2014/12/25,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,10035779,100教育：启程雅思留学梦仅1元，剑十机经福利送,项目成功,10000.00,11273.20,189,5,19.90,7,1,351,2015/09/11,否,8,7,"-,,"
其他,7860,离职互联网公司卖烤串？焰欲骚烤约你一起来玩火！,项目成功,1000000.00,1872000.00,235,7,500.00,11,0,773,2015/01/15,是,34,10,"淘宝-,,"
其他,23237,众筹爱好，为所有人筹集一个爱好,项目成功,200000.00,262690.30,194,5,9.90,16,2,179,2015/06/09,是,56,45,"-,,"
其他,23922,Usebon优瑟超级不粘锅 金属铲铲不坏,项目成功,100000.00,107481.00,399,8,129.00,29,0,1268,2015/08/13,否,182,15,"-,,"
其他,23072,最强大脑教你玩转魔方,项目成功,2000.00,14842.00,742,5,29.00,1,1,156,2015/05/26,否,294,15,"-4.8,,"
其他,2455,慕司的T恤,项目成功,10000.00,27912.00,326,0,0.00,2,0,197,2014/10/04,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,17828,霸道总裁Bobby英语口语第一课,项目成功,2000.00,2819.00,932,2,1888.00,1,0,72,2015/04/15,否,1,3,"-,,"
其他,16021,终极一战——2015麦迪中国行上海站,项目成功,800000.00,972622.00,2518,10,2.00,4,0,186,2015/05/20,是,1860,60,"淘宝-,,"
其他,4339,父亲的酒窖，为爱珍藏女儿红！,项目成功,500000.00,546553.00,1207,8,9.00,8,10,1340,2014/12/24,是,644,60,"淘宝-,,"
其他,4601,全球首届沉浸式虚拟现实电商论坛——金麦奖招募合伙人,项目成功,40000.00,61200.00,71,2,200.00,1,0,162,2014/12/14,否,24,30,"淘宝-,,"
其他,3199,墨明棋妙原创音乐团队周边之冬季纪念卫衣众筹（大陆）,项目成功,80000.00,183513.00,735,10,249.00,4,0,2,2014/10/25,否,10,45,"淘宝-,,"
其他,20059127,傲享奢华 防弹超跑和IPhone三生情缘,预热中,50000.00,0,0,6,138.00,14,0,46,NOTFOUND,是,0,15,"淘宝-,,"
其他,2563,以旅行之名，寻找“声音博物馆”的99个样本,项目成功,3800.00,4406.00,25,7,8.00,25,0,120,2014/11/26,是,6,15,"淘宝-,,"
