项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
设计,66686,茶香花多用器 手制青节茶盒,8,128,23,0,4
设计,66763,Tubo系列原创公仔,10,33,10,0,1
设计,66496,澳乐私家游乐场,11,218,23,0,1
设计,66738,润厨园 耐磨不粘锅二代,6,119,28,0,2
设计,66161,真丝丝巾新定义芳香精油丝巾,11,199,15,0,2
设计,66306,独美 比A4纸还轻的眼镜,15,168,39,0,2
设计,66287,水墨彩虹全自动双层帐篷,11,49,17,0,1
设计,66371,面膜内衣 滋润一冬天,8,89,10,0,1
设计,66153,爱赞眼镜，为数码生活而生,7,199,33,0,1
设计,66344,大圣壶，向经典致敬,13,99,13,0,2
设计,66182,百年织就的五重纱两穿睡袋,6,199,30,0,1
设计,66428,NASA宇航级胶囊温控衬衫,5,399,16,0,2
设计,66023,尼泊尔彩绘嘎乌本命佛唐卡Ⅱ,72,800,44,3,22
