项目类型,项目编号,话题数,关注数
科技,60179,219,(813)
科技,60245,169,(1万)
科技,60196,1718,(1万)
科技,60171,36,(1千)
科技,60156,215,(577)
科技,60142,160,(4千)
科技,60128,85,(319)
科技,60104,153,(3千)
科技,60027,56,(593)
科技,59979,405,(7千)
科技,59973,580,(3千)
科技,59993,298,(6千)
科技,59948,17,(438)
科技,59942,398,(5千)
科技,59840,28,(236)
科技,59814,171,(7千)
科技,59837,119,(6千)
科技,59790,290,(1千)
科技,59733,288,(7千)
科技,59704,15,(441)
科技,59640,36,(552)
科技,59331,46,(975)
科技,59544,103,(2千)
科技,59621,87,(6千)
科技,59298,2,(50)
科技,59297,1470,(4千)
科技,59287,56,(80)
科技,59266,62,(1千)
科技,59293,178,(2千)
科技,59258,153,(1千)
科技,59254,347,(1千)
科技,59244,125,(868)
科技,59187,34,(179)
科技,59118,291,(1万)
科技,59092,650,(1万)
科技,59058,19,(228)
科技,59006,18,(1千)
科技,59004,21,(109)
科技,58986,76,(510)
科技,58908,127,(381)
科技,58999,80,(304)
科技,58826,149,(2千)
科技,58748,106,(748)
科技,58714,307,(1万)
科技,58706,28,(247)
科技,58702,256,(1千)
科技,58687,138,(866)
科技,58622,29,(369)
科技,58621,73,(1千)
科技,58615,905,(1万)
科技,58614,55,(455)
科技,58533,203,(530)
科技,58512,667,(536)
科技,58422,219,(2千)
科技,58410,66,(238)
科技,58738,50,(284)
科技,58393,76,(877)
科技,58397,203,(1千)
